Asset,Type,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_USD,Size_USD,Reason,Leverage,Duration,equity,returns
DASHUSDT:USDT,Long,2024-12-02 00:00:00,2024-12-02 00:45:00,47.55492,51.90598,27.772083385427223,307.1997880241847,Trailing_Win,5,0 days 00:45:00,1264.3232102409984,0.022459308622400975
ZILUSDT:USDT,Short,2024-12-02 08:00:00,2024-12-02 09:00:00,0.027445,0.02636262,12.05972987272769,314.06600892353543,Trailing_Win,5,0 days 01:00:00,1276.3829401137261,0.009538486500163978
FILUSDT:USDT,Short,2024-12-02 08:00:00,2024-12-02 09:00:00,7.081808,6.842658,10.2812194249698,314.06600892353543,Trailing_Win,5,0 days 01:00:00,1286.664159538696,0.008054964620612726
HBARUSDT:USDT,Short,2024-12-02 10:00:00,2024-12-02 11:15:00,0.24484932,0.24094092,4.775322761775459,319.49421324349794,Trailing_Win,5,0 days 01:15:00,1291.4394823004714,0.0037113979793199636
ZILUSDT:USDT,Long,2024-12-02 18:00:00,2024-12-02 21:00:00,0.02902794,0.03059868,17.010572942234628,320.608170380631,Trailing_Win,5,0 days 03:00:00,1308.450055242706,0.013171792542638672
FILUSDT:USDT,Long,2024-12-02 21:00:00,2024-12-03 00:15:00,7.31961,7.162646,-7.282513777337213,324.78066157359444,SL_Hit,5,0 days 03:15:00,1301.1675414653687,-0.0055657560242040605
FILUSDT:USDT,Short,2024-12-03 13:00:00,2024-12-03 14:45:00,7.312346,6.984942,14.174541805699034,324.1424082733959,Trailing_Win,5,0 days 01:45:00,1315.3420832710678,0.010893709959699516
HBARUSDT:USDT,Short,2024-12-03 12:15:00,2024-12-03 15:30:00,0.3515954,0.32766402,21.63192838962344,322.8788379638667,Trailing_Win,5,0 days 03:15:00,1336.9740116606913,0.01644585744252014
HBARUSDT:USDT,Short,2024-12-03 22:30:00,2024-12-04 00:00:00,0.33573717999999997,0.32706282,8.229005731419644,331.668700201138,Trailing_Win,5,0 days 01:30:00,1345.203017392111,0.006154948158789031
FILUSDT:USDT,Long,2024-12-04 12:00:00,2024-12-04 14:00:00,8.018004000000001,8.064838,1.6132519830508811,333.6430344589427,Trailing_Win,5,0 days 02:00:00,1346.8162693751617,0.001199262834080006
HBARUSDT:USDT,Short,2024-12-04 16:00:00,2024-12-04 17:15:00,0.29305272,0.2864217,7.215192033024088,333.9629366960906,Trailing_Win,5,0 days 01:15:00,1354.0314614081858,0.005357220726455614
FILUSDT:USDT,Short,2024-12-04 16:15:00,2024-12-04 17:15:00,8.033900000000001,8.004978,0.8699843425841967,335.0739520937352,Trailing_Win,5,0 days 01:00:00,1354.90144575077,0.0006425141271677592
HBARUSDT:USDT,Short,2024-12-05 03:00:00,2024-12-05 04:00:00,0.3027932,0.29629140000000004,6.867883015597483,335.81697156779524,Trailing_Win,5,0 days 01:00:00,1361.7693287663676,0.005068917032405862
HBARUSDT:USDT,Short,2024-12-05 16:00:00,2024-12-05 22:00:00,0.30145588,0.29084052,11.533510871423267,337.44998807880273,Trailing_Win,5,0 days 06:00:00,1373.3028396377908,0.0084695040692917
ZILUSDT:USDT,Short,2024-12-09 08:00:00,2024-12-09 10:00:00,0.03265456,0.031532939999999995,11.334949100544394,340.2490032996388,Trailing_Win,5,0 days 02:00:00,1384.6377887383353,0.008253786982290068
FILUSDT:USDT,Short,2024-12-09 08:00:00,2024-12-09 12:15:00,7.334302,7.128228,9.21026536505659,340.2490032996388,Trailing_Win,5,0 days 04:15:00,1393.8480541033919,0.006651750688856151
AXSUSDT:USDT,Short,2024-12-09 20:00:00,2024-12-09 21:15:00,8.327312,7.696362,25.785150273451123,345.2151824143892,Trailing_Win,5,0 days 01:15:00,1419.633204376843,0.018499254777119667
ZILUSDT:USDT,Short,2024-12-09 20:00:00,2024-12-09 21:15:00,0.03065856,0.027955800000000003,30.05741144570812,345.2151824143892,Trailing_Win,5,0 days 01:15:00,1449.690615822551,0.02117266020056352
HBARUSDT:USDT,Short,2024-12-09 20:00:00,2024-12-09 21:15:00,0.29892096,0.27953796000000003,22.017266775549885,345.2151824143892,Trailing_Win,5,0 days 01:15:00,1471.707882598101,0.015187562460047488
FILUSDT:USDT,Short,2024-12-09 20:00:00,2024-12-09 21:30:00,6.914144,6.318612,29.35927192771704,345.2151824143892,Trailing_Win,5,0 days 01:30:00,1501.067154525818,0.01994911644822306
HBARUSDT:USDT,Short,2024-12-12 19:00:00,2024-12-12 20:30:00,0.3049389,0.30241362000000005,2.7031845509074044,371.6747423375813,Trailing_Win,5,0 days 01:30:00,1503.7703390767253,0.0018008418495847334
FILUSDT:USDT,Short,2024-12-18 19:30:00,2024-12-18 21:00:00,6.076822000000001,5.776529999999999,18.00481499756428,372.2576197897237,Trailing_Win,5,0 days 01:30:00,1521.7751540742897,0.011973114863150558
ZILUSDT:USDT,Short,2024-12-19 17:00:00,2024-12-19 18:15:00,0.022005900000000002,0.02082156,19.874913355911698,376.6657591341674,Trailing_Win,5,0 days 01:15:00,1541.6500674302015,0.013060348174761538
ZILUSDT:USDT,Short,2024-12-20 08:00:00,2024-12-20 10:15:00,0.01996998,0.018807539999999998,21.80547303858139,381.5403210333618,Trailing_Win,5,0 days 02:15:00,1563.4555404687826,0.01414424291170624
FILUSDT:USDT,Short,2024-12-20 08:00:00,2024-12-20 10:15:00,4.991995999999999,4.618218,28.1578989607875,381.5403210333618,Trailing_Win,5,0 days 02:15:00,1591.6134394295702,0.01801004136794626
HBARUSDT:USDT,Long,2024-12-20 12:00:00,2024-12-20 13:00:00,0.23994894,0.25133632,18.278154632042348,393.8403938726874,Trailing_Win,5,0 days 01:00:00,1609.8915940616125,0.011484041400525724
FILUSDT:USDT,Short,2024-12-30 13:00:00,2024-12-30 17:30:00,4.969042,4.945872,1.4571061190147032,398.3114724322298,Trailing_Win,5,0 days 04:30:00,1611.3487001806275,0.0009050957992386977
HBARUSDT:USDT,Short,2025-01-16 14:00:00,2025-01-16 15:00:00,0.37051747999999995,0.3560106,15.191280988231995,398.5761710938755,Trailing_Win,5,0 days 01:00:00,1626.5399811688594,0.009427680666840743
HBARUSDT:USDT,Short,2025-01-18 05:00:00,2025-01-18 06:00:00,0.37060730000000003,0.35922702,11.938056548399905,402.27434729815997,Trailing_Win,5,0 days 01:00:00,1638.4780377172592,0.007339540796175825
FILUSDT:USDT,Short,2025-01-18 05:00:00,2025-01-18 06:45:00,5.507962,5.481942,1.4961975989827687,402.27434729815997,Trailing_Win,5,0 days 01:45:00,1639.9742353162421,0.0009131630479877195
FILUSDT:USDT,Short,2025-01-19 21:00:00,2025-01-19 22:15:00,5.3682419999999995,5.177334,13.998309502737117,405.43177366135666,Trailing_Win,5,0 days 01:15:00,1653.9725448189793,0.00853568867198562
ZILUSDT:USDT,Short,2025-01-19 21:00:00,2025-01-19 23:30:00,0.021397120000000002,0.01980954,29.645889144951425,405.43177366135666,Trailing_Win,5,0 days 02:30:00,1683.6184339639308,0.0179240515435497
HBARUSDT:USDT,Short,2025-01-19 21:00:00,2025-01-19 23:30:00,0.35381096,0.32550972,31.992512337752604,405.43177366135666,Trailing_Win,5,0 days 02:30:00,1715.6109463016833,0.01900223452794414
FILUSDT:USDT,Long,2025-01-20 06:15:00,2025-01-20 07:30:00,5.057093999999999,5.333312,22.713656752883736,424.03687757747093,Trailing_Win,5,0 days 01:15:00,1738.324603054567,0.01323939836234267
HBARUSDT:USDT,Short,2025-01-20 17:00:00,2025-01-20 17:45:00,0.34908044,0.34170204,8.641822222493817,429.6092825462975,Trailing_Win,5,0 days 00:45:00,1746.9664252770608,0.004971351269669855
FILUSDT:USDT,Short,2025-01-20 17:15:00,2025-01-20 17:45:00,5.176626000000001,5.051082,9.969256671294554,429.19434347678015,Trailing_Win,5,0 days 00:30:00,1756.9356819483555,0.005706610342962826
HBARUSDT:USDT,Short,2025-02-02 16:00:00,2025-02-02 18:15:00,0.27062766000000005,0.2561613,22.744685216568893,434.0473513632388,Trailing_Win,5,0 days 02:15:00,1779.6803671649243,0.01294565615022747
FILUSDT:USDT,Short,2025-02-02 17:00:00,2025-02-02 19:15:00,4.015952,3.7364580000000003,29.958743086243754,437.1857063416355,Trailing_Win,5,0 days 02:15:00,1809.639110251168,0.01683377736754421
FILUSDT:USDT,Short,2025-02-03 01:00:00,2025-02-03 02:30:00,3.440106,2.96592,61.10683595950038,447.0054001745157,Trailing_Win,5,0 days 01:30:00,1870.7459462106685,0.03376741562079699
AXSUSDT:USDT,Short,2025-02-03 01:00:00,2025-02-03 03:00:00,4.14669,3.789564,38.012009691906535,447.0054001745157,Trailing_Win,5,0 days 02:00:00,1908.7579559025748,0.020319172557290432
