Asset,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL_USD,Reason,Raw_Ret,Cum_PnL,HWM,Drawdown_USD
ETHUSDT,1713004200000,1713005100000,Long,3269.0136899999998,3275.1715950000003,-0.11816416865464974,Hybrid_Flip_Bear,0.0018837195508962469,175.44157309411204,181.4828872309329,-6.0413141368208585
ETHUSDT,1713006000000,1713009600000,Short,3282.5579,3265.8421049999997,3.087215431904513,Hybrid_Flip_Bull,0.0050923077396441575,178.52878852601657,181.4828872309329,-2.9540987049163334
ETHUSDT,1713010500000,1713011400000,Long,3267.282825,3276.3610000000003,0.7757305720849419,Hybrid_Flip_Bear,0.0027785090811661083,179.3045190981015,181.4828872309329,-2.1783681328313946
ETHUSDT,1713012300000,1713015000000,Short,3277.46045,3269.67402,0.3733752668167538,Hybrid_Flip_Bull,0.0023757510178345886,179.67789436491827,181.4828872309329,-1.8049928660146293
ETHUSDT,1713015900000,1713016800000,Long,3272.925645,3272.8627500000002,-2.019197535115275,Hybrid_Flip_Bear,-1.9216751867142144e-05,177.658696829803,181.4828872309329,-3.824190401129897
ETHUSDT,1713017700000,1713018600000,Short,3270.54391,3262.500435,0.45690984317038064,Hybrid_Flip_Bull,0.0024593692123827636,178.1156066729734,181.4828872309329,-3.3672805579595035
ETHUSDT,1713019500000,1713021300000,Long,3264.6315,3293.3525,6.788826242716828,Hybrid_Flip_Bear,0.008797623866583412,184.90443291569022,184.90443291569022,0.0
ETHUSDT,1713022200000,1713023100000,Short,3282.2580500000004,3274.75656,0.28318078464323015,Hybrid_Flip_Bull,0.002285466250894124,185.18761370033346,185.18761370033346,0.0
ETHUSDT,1713024000000,1713031200000,Short,3261.8982350000006,3212.68554,13.072046631461086,Hybrid_Flip_Bull,0.015087133765226312,198.25966033179455,198.25966033179455,0.0
ETHUSDT,1713032100000,1713034800000,Long,3222.0802349999994,3217.9402250000003,-3.283602420905936,Hybrid_Flip_Bear,-0.0012848873082141501,194.9760579108886,198.25966033179455,-3.283602420905936
ETHUSDT,1713035700000,1713038400000,Short,3210.9437250000005,2938.80867,82.66760654455275,TP_Hit,0.08475235890345621,277.64366445544135,277.64366445544135,0.0
ETHUSDT,1713040200000,1713042000000,Short,2960.3790700000004,2923.070805,10.589927118691785,Hybrid_Flip_Bull,0.012602529648340126,288.23359157413313,288.23359157413313,0.0
ETHUSDT,1713042900000,1713044700000,Long,2865.682125,2948.994765,27.043461113119836,Hybrid_Flip_Bear,0.0290725336467666,315.277052687253,315.277052687253,0.0
ETHUSDT,1713045600000,1713049200000,Long,2908.4534999999996,3038.709885,42.74065980941439,TP_Hit,0.04478544525466906,358.0177124966674,358.0177124966674,0.0
ETHUSDT,1713050100000,1713056400000,Long,3025.53201,2951.0637300000003,-26.588671173900288,SL_Hit,-0.024613284458358645,331.4290413227671,358.0177124966674,-26.58867117390031
ETHUSDT,1713057300000,1713063600000,Long,2986.15233,2911.4835300000004,-26.98001540329976,SL_Hit,-0.025005020423723483,304.4490259194673,358.0177124966674,-53.56868657720008
ETHUSDT,1713064500000,1713070800000,Long,2934.096315,3059.2696000000005,40.61895258029414,TP_Hit,0.04266161419448863,345.06797849976147,358.0177124966674,-12.949733996905934
ETHUSDT,1713071700000,1713082500000,Long,3051.84516,3095.361545,12.244781873206291,Hybrid_Flip_Bear,0.014259040914120412,357.3127603729678,358.0177124966674,-0.704952123699627
ETHUSDT,1713083400000,1713092400000,Long,3081.2198399999997,3034.2621100000006,-17.22474042942654,Hybrid_Flip_Bear,-0.015239980409836377,340.0880199435412,358.0177124966674,-17.929692553126188
ETHUSDT,1713093300000,1713094200000,Short,3024.487,3012.215355,2.0533728050410742,Hybrid_Flip_Bull,0.00405743023527635,342.1413927485823,358.0177124966674,-15.876319748085109
ETHUSDT,1713095100000,1713096000000,Short,3024.816835,3031.21485,-4.113059181317258,Hybrid_Flip_Bull,-0.002115174355672931,338.028333567265,358.0177124966674,-19.989378929402392
ETHUSDT,1713096900000,1713099600000,Long,3029.063775,3059.1596550000004,7.925767944585553,Hybrid_Flip_Bear,0.009935703648233787,345.9541015118506,358.0177124966674,-12.063610984816819
ETHUSDT,1713100500000,1713101400000,Short,3052.5629550000003,3042.9807299999998,1.135936233295657,Hybrid_Flip_Bull,0.0031390753086042614,347.0900377451462,358.0177124966674,-10.927674751521181
ETHUSDT,1713102300000,1713115800000,Long,3033.83616,3063.50748,7.770352489964512,Hybrid_Flip_Bear,0.0097801326225871,354.86039023511074,358.0177124966674,-3.157322261556658
ETHUSDT,1713116700000,1713117600000,Short,3048.8148300000003,3081.550005,-12.726279439214023,Hybrid_Flip_Bull,-0.010737016455669693,342.13411079589673,358.0177124966674,-15.883601700770669
ETHUSDT,1713118500000,1713139200000,Long,3071.6150399999997,3137.9702300000004,19.58110112978242,Hybrid_Flip_Bear,0.021602703833616038,361.71521192567917,361.71521192567917,0.0
ETHUSDT,1713140100000,1713142800000,Short,3122.727855,3111.97521,1.4399066629519113,Hybrid_Flip_Bull,0.003443350012964876,363.15511858863107,363.15511858863107,0.0
ETHUSDT,1713143700000,1713155400000,Long,3123.5109749999997,3135.2116100000003,1.7422421302683602,Hybrid_Flip_Bear,0.003745988118386747,364.89736071889945,364.89736071889945,0.0
ETHUSDT,1713156300000,1713157200000,Short,3135.881275,3137.638035,-2.559652322934247,Hybrid_Flip_Bull,-0.0005602125354697168,362.3377083959652,364.89736071889945,-2.559652322934255
ETHUSDT,1713158100000,1713168900000,Long,3142.2603449999997,3251.3735,32.68969145680399,Hybrid_Flip_Bear,0.03472441587267667,395.0273998527692,395.0273998527692,0.0
ETHUSDT,1713169800000,1713170700000,Short,3256.03117,3249.6139949999997,-0.03111288243579824,Hybrid_Flip_Bull,0.0019708579755397418,394.99628697033336,395.0273998527692,-0.031112882435820666
ETHUSDT,1713171600000,1713178800000,Long,3244.0712249999997,3242.707835,-2.419851019146328,Hybrid_Flip_Bear,-0.00042027129043676486,392.576435951187,395.0273998527692,-2.4509639015821563
ETHUSDT,1713179700000,1713182400000,Short,3243.73732,3237.7880849999997,-0.16776601226128318,Hybrid_Flip_Bull,0.0018340680557945113,392.40866993892575,395.0273998527692,-2.618729913843424
ETHUSDT,1713183300000,1713186000000,Long,3233.91615,3232.08315,-2.566238243375631,Hybrid_Flip_Bear,-0.000566805048424055,389.84243169555015,395.0273998527692,-5.184968157219032
ETHUSDT,1713186900000,1713188700000,Short,3225.0166850000005,3193.3959,7.795039003030931,Hybrid_Flip_Bull,0.009804843846877808,397.63747069858107,397.63747069858107,0.0
ETHUSDT,1713189600000,1713193200000,Short,3170.6139,3136.14729,8.859771790567104,Hybrid_Flip_Bull,0.010870642433000104,406.49724248914816,406.49724248914816,0.0
